date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:49	286059/286059	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:49%20GMT	https://moodle-vhs.essen.de/course/section.php?id=15011	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/course/section91ac.html	(from )
19:55:49	160581/160581	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:49%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view3b24.html	(from )
19:55:50	161487/161487	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:49%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161074	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view803a.html	(from )
19:55:50	161027/161027	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:50%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161080	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view10d9.html	(from )
19:55:50	161033/161033	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:50%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161081	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view0dd4.html	(from )
19:55:50	161976/161976	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:50%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161077	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view4233.html	(from )
19:55:51	161012/161012	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:51%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161078	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view9790.html	(from )
19:55:51	161004/161004	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:51%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161091	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/viewac2f.html	(from )
19:55:51	161009/161009	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:51%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161092	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/viewc4da.html	(from )
19:55:52	161839/161839	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:52%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161096	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view4e19.html	(from )
19:55:52	161793/161793	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:52%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161366	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/viewb6bf.html	(from )
19:55:53	160993/160993	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2017:55:52%20GMT	https://moodle-vhs.essen.de/mod/book/view.php?id=138006&chapterid=161093	C:/Users/User/Documents/Moodle%20archive/Mathe/moodle-vhs.essen.de/mod/book/view02fb.html	(from )
